timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1723640458370,8,Tnx_02_Click_open_Acc,200,"Number of samples in transaction : 3, number of failing samples : 0",script_1 1-1,,true,,22840,3471,10,10,null,0,1,0
1723640458370,1,HTTP Request,200,OK,script_1 1-1,text,true,,6969,689,10,10,http://localhost/banking/customer_reg_form.php,1,0,0
1723640458372,6,HTTP Request,200,OK,script_1 1-1,text,true,,11523,1998,10,10,http://localhost/banking/cust_regfrm_confirm.php,3,0,0
1723640458372,3,HTTP Request-0,302,Found,script_1 1-1,text,true,,7175,1139,10,10,http://localhost/banking/customer_reg_form.php,3,0,0
1723640458375,3,HTTP Request-1,200,OK,script_1 1-1,text,true,,4348,859,10,10,http://localhost/banking/cust_regfrm_confirm.php,3,0,0
1723640458378,1,HTTP Request,200,OK,script_1 1-1,text,true,,4348,784,10,10,http://localhost/banking/cust_regfrm_confirm.php,1,0,0
1723640458380,5,Tnx_03_view_acc_details_n_submit,200,"Number of samples in transaction : 2, number of failing samples : 0",script_1 1-1,,true,,10983,1628,10,10,null,0,3,0
1723640458380,5,HTTP Request,200,OK,script_1 1-1,text,true,,4583,902,10,10,http://localhost/banking/cust_regfrm_confirm.php,5,0,0
1723640458387,0,HTTP Request,200,OK,script_1 1-1,text,true,,6400,726,10,10,http://localhost/banking/index.php,0,0,0
1723640588389,4,Tnx_01_Launch,200,"Number of samples in transaction : 1, number of failing samples : 0",script_1 1-10,,true,,6401,651,10,10,null,0,0,1
1723640588389,4,HTTP Request,200,OK,script_1 1-10,text,true,,6401,651,10,10,http://localhost/banking/,4,0,1
1723640588393,7,Tnx_02_Click_open_Acc,200,"Number of samples in transaction : 3, number of failing samples : 0",script_1 1-10,,true,,22840,3471,10,10,null,0,1,0
1723640588393,1,HTTP Request,200,OK,script_1 1-10,text,true,,6969,689,10,10,http://localhost/banking/customer_reg_form.php,1,0,0
1723640588394,5,HTTP Request,200,OK,script_1 1-10,text,true,,11523,1998,10,10,http://localhost/banking/cust_regfrm_confirm.php,3,0,0
1723640588394,3,HTTP Request-0,302,Found,script_1 1-10,text,true,,7175,1139,10,10,http://localhost/banking/customer_reg_form.php,3,0,0
1723640588397,2,HTTP Request-1,200,OK,script_1 1-10,text,true,,4348,859,10,10,http://localhost/banking/cust_regfrm_confirm.php,2,0,0
1723640588399,1,HTTP Request,200,OK,script_1 1-10,text,true,,4348,784,10,10,http://localhost/banking/cust_regfrm_confirm.php,1,0,0
1723640588401,8,Tnx_03_view_acc_details_n_submit,200,"Number of samples in transaction : 2, number of failing samples : 0",script_1 1-10,,true,,10983,1628,10,10,null,0,2,0
1723640588401,6,HTTP Request,200,OK,script_1 1-10,text,true,,4583,902,10,10,http://localhost/banking/cust_regfrm_confirm.php,6,0,0
1723640588409,2,HTTP Request,200,OK,script_1 1-10,text,true,,6400,726,10,10,http://localhost/banking/index.php,2,0,0
1723640618388,3,Tnx_01_Launch,200,"Number of samples in transaction : 1, number of failing samples : 0",script_1 1-9,,true,,6401,651,10,10,null,0,0,1
